,Date,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
78,2017-03-12,9891.087571000004,190.86017560763815,190.86017560763815,158.83892617857805,222.8814250366983,158.83892617857805,222.8814250366983,14397.529426195764,13820.893463307206,14949.492053385118,-55.01447260763817,-87.0357220366983,-22.993223178578063,-4506.441855195765,-5058.404482385123,-3929.8058923072035
79,2017-03-19,10026.065568000004,190.6839267798889,190.6839267798889,158.6538589579824,222.71399460179543,158.6538589579824,222.71399460179543,14588.213352975654,13995.37591403273,15147.32326684557,-55.70592977988892,-87.73599760179545,-23.67586195798242,-4562.147784975654,-5121.257698845569,-3969.310346032725
80,2011-01-02,,143.4468616300813,,,,-377458.80680195737,377745.7005252175,,,,-44.30403963008129,-377646.5577032175,377557.9496239574,,,
81,2011-01-09,,143.4468616300813,,,,-377458.8068039058,377745.70052716596,,,,-42.53823863008128,-377644.79190416593,377559.71542690584,,,
82,2011-01-16,,141.80597128115244,,,,-377201.37236553506,377484.9843080973,,,,-45.72097228115244,-377388.89930909727,377297.4573645351,,,
83,2011-01-23,,141.87137131741824,,,,-377201.3069673765,377485.04971001134,,,,-45.312632317418235,-377388.49097101134,377297.8657063765,,,
84,2011-01-30,,140.17307942047677,,,,-376962.27593854046,377242.62209738145,,,,-45.207861420476775,-377147.65687938145,377057.24115654046,,,
85,2011-02-06,,140.2530630263949,,,,-376962.195956749,377242.70208280184,,,,-40.421146026394894,-377142.87016580184,377062.02787374903,,,
86,2011-02-13,,138.61418765255607,,,,-376739.56930974947,377016.79768505454,,,,-40.935674652556074,-376919.1191720545,376837.2478227495,,,
87,2011-02-20,,138.85923040897663,,,,-376739.3242687506,377017.0427295685,,,,-44.755363408976635,-376922.93886256847,376833.42813575064,,,
88,2011-02-27,,137.24966516748944,,,,-376531.4988764612,376805.9982067961,,,,-45.816041167489445,-376714.5645827961,376622.9325004612,,,
89,2011-03-06,,137.3673849654089,,,,-376531.38115836936,376806.11592830025,,,,-46.27831196540889,-376715.02685530024,376622.47023136937,,,
90,2011-03-13,,135.7717283583337,,,,-376336.94831251225,376608.49176922895,,,,-47.998878358333684,-376520.71891922894,376424.72116251226,,,
91,2011-03-20,,135.8745361946451,,,,-376336.84550633555,376608.5945787248,,,,-45.173067194645085,-376517.8931097248,376427.5469753356,,,
92,2011-03-27,,134.2717634114716,,,,-376154.57881105057,376423.12233787356,,,,-41.029278411471594,-376329.87985287356,376247.82129605056,,,
93,2011-04-03,,134.46287784630053,,,,-376154.3876982331,376423.31345392566,,,,-42.77084584630053,-376331.62142192567,376246.0797302331,,,
94,2011-04-10,,133.0284519448928,,,,-375983.0143796033,376249.07128349313,,,,-43.016068944892794,-376159.05890049314,376073.0267626033,,,
95,2011-04-17,,133.166791608781,,,,-375982.8760415183,376249.20962473575,,,,-37.770894608781006,-376153.8137277358,376078.2719385183,,,
96,2011-04-24,,131.76327344649278,,,,-375821.5644164225,376085.0909633155,,,,-28.055235446492773,-375981.3829253155,375925.2724544225,,,
97,2011-05-01,,132.0558829439056,,,,-375821.2718084686,376085.3835743564,,,,-28.950795943905604,-375982.2784873564,375924.3768954686,,,
98,2011-05-08,,130.96169529002938,,,,-375668.88433192146,375930.80772250146,,,,-27.796702290029387,-375827.6427295015,375772.04932492145,,,
99,2011-05-15,,131.22871734459997,,,,-375668.61731137824,375931.07474606734,,,,-31.309543344599973,-375831.15557206736,375768.5364853782,,,
100,2011-05-22,,130.18956466929058,,,,-375524.6439797765,375785.023109115,,,,-29.48087066929058,-375684.31441511505,375625.35267377645,,,
101,2011-05-29,,130.35900780573866,,,,-375524.4745381216,375785.192553733,,,,-28.68533980573865,-375683.51888573304,375626.1482061216,,,
102,2011-06-05,,129.392784379083,,,,-375388.21524960943,375647.0008183676,,,,-25.920746379083,-375543.5287803676,375491.68728760944,,,
103,2011-06-12,,129.5837283497398,,,,-375388.02430709294,375647.1917637924,,,,-25.322154349739805,-375542.9301897924,375492.28588109295,,,
104,2011-06-19,,128.71065947229653,,,,-375258.8479865312,375516.2693054758,,,,-20.852344472296522,-375408.4109904758,375366.70630153123,,,
105,2011-06-26,,128.91735586504328,,,,-375258.64129156753,375516.47600329755,,,,-16.760510865043273,-375404.31915829756,375370.7981365675,,,
106,2011-07-03,,128.17598397133872,,,,-375135.9608119579,375392.31277990056,,,,-11.281963971338726,-375275.41875990055,375252.8548319579,,,
